Aiguo,Ah Cy,Bai
An,Ah Kum,Chan
Angúo,Ah Lam,Chen
Bai,Ai,Cheung
Bingwen,An,Chong
Bo,Baozhai,Chou
Bohai,Bik,Chow
Bojing,Biyu,Chu
Bolin,Bo,Du
Boqin,Changchang,Fan
Changpu,Changying,Guan
Chanming,Chao-xing,Guo
Chao,Chenguang,Han
Chaoxiang,Chow,Hou
Chen,Chu hua,Hsu
Cheng,Chun,Hu
Chenglei,Chunhua,Huang
Cheung,Chuntao,Jiang
Chi,Chyou,Jin
Chongan,Cuifen,Kuang
Chongkun,Da Chun,Kwan
Chonglin,Dai-tai,Kwok
Chuanli,Daiyu,Lam
Chung,Dandan,Lau
Délì,Da-Xia,Lee
Déshì,Dongmei,Li
Déwei,Eu-fùnh,Liao
Da,Eu-meh,Lim
Dai,Fang,Lin
Delun,Far,Liu
Deming,Fenfang,Lu
Dingbang,Fung,Ma
Dingxiang,Guan-yin,Mah
Dong,Hùifang,Man
Donghai,Howin,Ng
Duyi,Hu,Pan
Enlai,Hua,Ruan
Fa,Hualing,Song
Fai,Huan,Sun
Fang,Huian,Sung
Feng,Huidai,Tan
Fengge,Huifang,Tang
Fu,Huifen,Wang
Fuhua,Huilang,Wen
Gan,Huiliang,Wong
Gang,Huiqing,Wu
Geming,Huizhong,Xu
Gen,Hwei-ru,Xun
Genghis,Jia,Yang
Guang,Jiahui,Yeung
Guangli,Jiao,Yu
Gui,Jiayi,Yuen
Guiren,Jiaying,Zhang
Guoliang,Jie,Zhao
Guotin,Jingfei,Zheng
Guowei,Jinghua,Zhou
Guozhi,Ju,Zhu
Hai,Juan,
He,Jun,
Heng,Kuai hua,
Ho,Kue ching,
Hong,Kwong,
Honghui,Lì húa,
Hongqi,Lìxúe,
Hop,Lan,
Huan,Lanfen,
Huang Fu,Lanying,
Hui,Lee,
Hulin,Li,
Hung,Lian,
Huojin,Lien,
Jaw-long,Lien hua,
Jian,Lifen,
Jiang,Lihua,
Jianguo,Lihwa,
Jianjun,Lijuan,
Jianyu,Liling,
Jin,Lin,
Jing,Lin,
Jingguo,Ling,
Jinhai,Ling,
Jinjing,Linqin,
Jun,Liqiu,
Junjie,Liu,
Kang,Luli,
Keung,Méh-è,
Kong,Méh-fùnh,
Lì,Mei,
Lei,Mei,
Li,Meifen,
Liang,Meifeng,
Liang,Meihui,
Liko,Meili,
Ling,Meilin,
Liu,Meirong,
Liwei,Meixiang,
Lok,Meixiu,
Longwei,Meiying,
Manchu,Meizhen,
Ming-húa,Ming-huá:,
Mingli,Mingxia,
Ming-tun,Mingyu,
Minsheng,Mingzhu,
Minzhe,Mu lan,
Nianzu,Mu tan,
On,Ning,
Park,Ninghong,
Peng,Niu,
Pengfei,Nuo,
Ping,Nuwa,
Qi,Peijing,
Qianfan,Peizhi,
Qiang,Ping,
Qingshan,Qiànrú,
Qingsheng,Qiao,
Qiquiang,Qiaohui,
Qiu,Qiaolian,
Quan,Qing,
Quon,Qingge,
Renshu,Qingling,
Rong,Qingzhao,
Ru,Qiu,
Shàoqiáng,Qiuyue,
Shìlín,Rùfen,
Shan,Renxiang,
Shanyuan,Rong,
Shen,Rou,
Shen,Ruiling,
Shi,Ruolan,
Shing,Ruomei,
Shining,Shaoqing,
Shirong,Sheu-fùh,
Shoi-ming,Shihong,
Shoushan,Shu,
Shunyuan,Shuang,
Shu-sai-chong,Shuchun,
Siyu,Shun,
Sueh-yén,Song,
Sying,Suyin,
Tao,Syà,
Tengfei,Sying,
Tingzhe,Tè,
Tsun-chùng,Tao,
Tung,Ting,
Wang,Tu,
Wei,Ushi,
Weimin,Weici,
Weisheng,Wen,
Weiyuan,Wenling,
Weizhe,Wenquian,
Wencheng,Xia,
Wenyan,Xiaodan,
Wing,Xiaofan,
Wuzhou,Xiaohui,
Xiang,Xiaojian,
Xianliang,Xiaojing,
Xiaobo,Xiaoli,
Xiaodan,Xiaolian,
Xiaojian,Xiaoling,
Xiaosi,Xiaoqing,
Xiaowen,Xiaosheng,
Xiasheng,Xiaotong,
Xin,Xiaozhi,
Xing,Xifeng,
Xiu,Xingjuan,
Xue,Xiu Mei,
Xueqin,Xiulan,
Xueyou,Xiurong,
Yang,Xiuying,
Yanlin,Xueman,
Yaochuan,Yáng,
Yaoting,Yín,
Yaozu,Yüying,
Ye,Yüzhen,
Yi,Ya,
Yingjie,Yan,
Yingpei,Yanmei,
Yong,Yanyu,
Yongliang,Yet Kwai,
Yongnian,Ying,
Yongrui,Yingtai,
Yongzheng,Yow,
You,Yu,
Yuanjun,Yuèhai,
Yunxu,Yuèqín,
Yusheng,Yuan,
Zedong,Yubi,
Zemin,Yue,
Zenguang,Yuet,
Zhìxin,Yu-jun,
Zhìyuan,Yuk,
Zhen,Yuke,
Zhengzhong,Yuming,
Zhensheng,Yun,
Zhihuán,Yunru,
Zhiqiang,Yusheng,
Zhong,Zhaohui,
Zian,Zhenzhen,
Zihao,Zhilan,
Zixin,Zhu,
,Zongying,