Ben,Emma,1. Muller miller
Louis / Luis,Mia,2. Schmidt smith
Paul,Hannah / Hanna,3. Schneider taylor
Lukas / Lucas,Sofia / Sophia,4. Fischer fisher
Jonas,Emilia,5. Weber weaver
Leon,Anna,6. Schafer shepherd
Finn / Fynn,Lena,7. Meyer MHG -> steward of landholder; leaseholder
Noah,Lea / Leah,8. Wagner wagoner
Elias,Emily / Emilie,9. Becker from Bäcker -> baker
Luca / Luka,Marie,10. Bauer farmer
Maximilian,Lina,11. Hoffmann landed farmer
Felix,Leonie,12. Schulz mayor
Max,Amelie,13. Koch cook
Henry,Sophie / Sofie,14. Richter judge
Moritz,Luisa / Louisa,15. Klein small
Julian,Johanna,16. Wolf wolf
Tim,Nele / Neele,17. Schroder carter
Jakob / Jacob,Laura,18. Neumann new man
Emil,Lilly / Lilli,19. Braun brown
Philipp,Lara,20. Werner OHG defense army
Niklas / Niclas,Clara / Klara,21. Schwarz black
Alexander,Mila,22. Hofmann landed farmer
David,Leni,23. Zimmermann carpenter
Oskar / Oscar,Maja / Maya,24. Schmitt smith
Mats / Mads,Charlotte,25. Hartmann strong man
Jan,Sarah / Sara,26. Schmid smith
Tom,Frieda / Frida,27. Weib white
Anton,Ida,28. Schmitz smith
Liam,Greta,29. Kruger potter
Erik / Eric,Pia,30. Lange long
Fabian,Lotta,31. Meier MHG -> steward of landholder; leaseholder
Matteo,Lia / Liah / Lya,"32. Walter leader, ruler"
Leo,Mathilda / Matilda,33. Kohler charcoal-maker
Rafael / Raphael,Ella,34. Maier MHG -> steward of landholder; leaseholder
Samuel,Melina,35. Beck from Bach -> stream; Bäcker -> baker
Mika,Lisa,36. Konig king
Theo,Julia,37. Krause curly-haired
Jonathan,Paula,38. Schulze mayor
Lennard / Lennart,Alina,39. Huber land owner
Simon,Mira,40. Mayer steward of landholder; leaseholder
Hannes,Zoe / Zoã© / Zoey,41. Frank from Franconia
Linus,Helena,42. Lehmann serf
Jannik,Marlene,43. Kaiser emperor
Nico / Niko,Emely / Emelie,44. Fuchs fox
Carl / Karl,Elisa,45. Herrmann warrior
Till,Victoria / Viktoria,46. Lang long
Vincent,Isabell / Isabel / Isabelle,47. Thomas Aramaic twin
Jona / Jonah,Isabella,48. Peters Greek rock
Benjamin,Jana,"49. Stein rock, stone"
Nick,Amy,50. Jung young
Leonard,Mara / Marah,51. Moller miller
Milan,Finja,52. Berger from French -> shepherd
Julius,Josephine / Josefine,53. Martin latin war-like
Marlon,Katharina,"54. Friedrich OHG fridu -> peace, rihhi-> powerful"
Florian,Nora,55. Scholz mayor
Johannes,Theresa / Teresa,56. Keller cellar
Nils / Niels,Maria,57. Grob big
Adrian,Antonia,58. Hahn rooster
Mattis / Mathis / Matthis,Jasmin / Yasmin,59. Roth from rot -> red
Constantin,Stella,60. Günther Scandinavian warrior
Levi,Pauline,61. Vogel bird
Aaron,Luise / Louise,62. Schubert MHG Schuochwürchte -> shoemaker
Ole,Annika,63. Winkler from Winkel ->angle
Maxim,Anni / Annie / Anny,64. Schuster shoemaker
Daniel,Lucy / Lucie,65. Jager hunter
Sebastian,Jule,66. Lorenz derived from latin Laurentius
Mohammed,Merle,"67. Ludwig OHG luth -> famous, wig -> war"
Jannis,Carla / Karla,68. Baumann farmer
Johann,Eva,69. Heinrich OHG heim -> home and rihhi -> powerful
Lennox,Milena,"70. Otto OHG ot -> property, inheritance"
Phil,Martha / Marta,71. Simon Hebrew God has listened
Joshua,Elena,"72. Graf count, earl"
Damian,Fiona,73. Kraus curly-haired
Timo,Melissa,"74. Kramer small trader, dealer"
Tobias,Franziska,75. Bohm of Bohemia
Robin,Luna,76. Schulte from Schultheiß -> debt-broker
Joel,Magdalena,"77. Albrecht OHG adal -> noble, bereht -> famous"
Lasse,Nina,78. Franke of Franconia
Levin,Annabell / Annabelle,79. Winter winter
Lenny / Lenni,Romy,"80. Schumacher cobbler, shoemaker"
Jayden / Jaden,Carlotta / Karlotta,81. Vogt steward
John,Mina,82. Haas MHG - nickname for rabbit hunter; coward
Dominic,Paulina,83. Sommer summer
Colin,Ronja,"84. Schreiber writer, scribe"
Valentin,Chiara,85. Engel angel
Gabriel,Helene,86. Ziegler brickmaker
Artur / Arthur,Selina,87. Dietrich OHG people’s ruler
Bruno,Maila,"88. Brandt fire, burn"
Bastian,Fabienne,89. Seidel mug
Benedikt,Elina,90. Kuhn councilman
Malte,Jette,91. Busch bush
Killian,Sina / Sinah,92. Horn horn
Marvin / Marwin,Jolina / Joelina,93. Arnold OHG strength of an eagle
Noel,Elif,94. Kuhn councilman
Toni / Tony,Elisabeth,95. Bergmann miner
Bennet,Linda_,96. Pohl Polish
Pepe,Miriam,97. Pfeiffer piper
Luke / Luc,Valentina,98. Wolff wolf
Justus,Lotte,99. Voigt steward
Tyler,Vanessa,100. Sauer sour